Domain,Zone,Region,Branch Name,Branch Code,No_of_Samity,No_of_Members,No_of_Borrower,SEP_2025_ Month_Loan,Loan_Outstanding_Principal,Loan_Service_Charge,Total_Outstanding,Overdue_Principal,Overdue_Service_Charge,Total_Overdue,GS,SS,TSS,TDMB,Total_Savings_Balance
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Mohasthan-1,0001,173,4026,3321,17610000,125615805,17683882,143299686,12690585,1803932,14494517,47379047,5468644,7023900,8195000,68066591
OP Domain Bogra,Bogra Central Zone,Central Region,Pollimangal,0002,176,4395,3023,14281000,123296331,3422290,126718621,4107265,490936,4598201,51636815,4665726,6726900,11265000,74294441
OP Domain Bogra,Bogra Central Zone,Central Region,Nishindara,0003,139,3586,2649,14665000,109994715,2873247,112867962,4903127,468323,5371450,38047843,4296712,6205100,8045000,56594655
OP Domain Bogra,Bogra South Zone,Dhunat Region,Mothurapur,0004,124,2623,1984,13267000,84929958,12331443,97261402,9439519,1357923,10797442,64709660,3205167,8068000,17140000,93122827
OP Domain Bogra,Bogra South Zone,Dhunat Region,Dhunat,0005,127,2532,1935,10115000,64396379,8978078,73374457,11794584,1690981,13485565,27060421,2282685,5263500,5305000,39911606
OP Domain Bogra,Bogra Central Zone,Central Region,Kendrio-1,0006,139,3666,2867,15967000,129987327,2987302,132974628,12485216,1414306,13899522,54561344,4798016,7961900,11990000,79311260
OP Domain Bogra,Bogra North Zone,Baluahat Region,Mokamtola,0007,138,2779,2530,10900000,87217880,10679825,97897705,23662185,2777270,26439454,24412993,2119954,2849000,6990000,36371947
OP Domain Bogra,Bogra North Zone,Gabtoli Region,Hatfulbari,0008,160,2685,2161,11395000,72828523,9802891,82631414,10375499,1370040,11745540,25534641,3133639,6314600,2245000,37227880
OP Domain Bogra,Bogra North Zone,Baluahat Region,Baluahat,0009,113,2310,1976,9180000,67031638,9096315,76127953,16106300,2128852,18235152,29472948,2354041,3723600,9350000,44900589
OP Domain Bogra,Bogra Central Zone,Banani Region,Bagbari,0010,172,3602,3038,15923000,105105276,14312109,119417385,13275433,1788775,15064208,37255955,4271742,6973800,6010000,54511497
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,Dorgahat,0011,185,3470,2834,18399000,114875075,15230388,130105463,10310158,1353361,11663519,47503332,5775804,12495000,18590000,84364136
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Dupchachiya,0012,126,2326,1830,12815000,77427716,9723345,87151062,2994806,425690,3420496,26726630,3935190,6588800,12200000,49450620
OP Domain Bogra,Joypurhat Zone,Kalai Region,Kalai,0013,132,2582,2060,13990000,86203110,8207770,94410880,9211782,1187446,10399228,27549558,3372917,4126400,1640000,36688875
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Pirgachha-1,0014,174,3452,2947,17520000,112723635,15038518,127762153,16491161,2133009,18624169,55643212,4166205,7283900,14590000,81683317
OP Domain Bogra,Bogra Central Zone,Banani Region,Ashekpur,0015,95,1726,1490,6000000,91179111,3604842,94783954,13349107,1689603,15038711,23567022,2819011,2938400,3700000,33024433
OP Domain Bogra,Bogra South Zone,Gohail Region,Nandigram,0016,111,1785,1565,7350000,49292130,6290017,55582147,9555531,1241455,10796986,18348055,1777636,2005700,2955000,25086391
OP Domain Bogra,Bogra North Zone,Gabtoli Region,Gabtoli-1,0017,160,3420,2862,17200000,116186072,16705009,132891081,10179417,1396232,11575650,42446675,5537974,10609100,13895000,72488749
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,Sherpur-1,0018,160,4192,3476,24400000,155907709,21438936,177346644,26509919,3487028,29996947,48158472,6651289,8874200,4165000,67848961
OP Domain Bogra,Bogra Central Zone,Banani Region,Majhira,0019,118,2134,1739,8440000,68952748,9970767,78923516,14168990,1959458,16128448,38732591,3199689,4347800,6870000,53150080
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Adomdighi,0020,135,2501,2033,10225000,74923837,10033540,84957377,12781581,1678547,14460128,26003632,3629069,6290600,8515000,44438301
OP Domain Bogra,Bogra North Zone,Sibganj Region,Namuja,0021,113,2127,1893,8890000,64379280,8386014,72765294,11734714,1324527,13059241,19152185,2287599,2987700,2910000,27337484
OP Domain Bogra,Bogra North Zone,Sibganj Region,Shibganj-1,0022,130,2420,2252,10289000,93021879,11678893,104700772,29986112,3334475,33320587,17192229,2231210,2865000,1400000,23688439
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Gokul,0023,139,3123,2460,13890000,147658734,-2323100,145335634,6023124,715680,6738803,43134468.19,4564393,7405500,9755000,64859361.19
OP Domain Bogra,Bogra North Zone,Baluahat Region,Gangnagor,0024,139,2793,2417,13837000,94355079,12832107,107187186,10494648,1455221,11949869,35990540,3471223,8387300,11495000,59344063
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Panchpir-1,0025,115,2650,2259,12956000,85443742,11438358,96882100,7723603,1099078,8822681,20672446,4802839,11651300,3625000,40751585
OP Domain Bogra,Bogra North Zone,Gabtoli Region,Golabari,0026,128,2514,1970,10770000,68425816,9485076,77910892,5669479,738474,6407953,25649045,3331850,9431600,12730000,51142495
